Date,Open,High,Low,Close,Volume,Adj Close
2014-03-03,37.92,41.50,37.49,40.99,39295900,40.99
2014-02-03,37.74,38.46,35.69,38.31,39290500,38.31
2014-01-02,37.35,37.89,34.63,37.84,48732700,37.56
2013-12-02,38.09,38.98,35.53,37.41,40193300,37.13
2013-11-01,35.67,38.29,35.39,38.13,41126100,37.85
2013-10-01,33.35,36.29,32.80,35.41,43783200,34.88
2013-09-03,31.75,33.75,30.95,33.28,64140000,32.78
2013-08-01,32.06,35.20,30.84,33.40,49729700,32.90
2013-07-01,34.75,36.43,31.02,31.84,52501300,31.15
2013-06-03,34.92,35.78,32.57,34.54,50535000,33.79
2013-05-01,32.93,35.28,32.32,34.90,51273800,34.14
2013-04-01,28.64,33.11,28.11,33.10,70041900,32.15
2013-03-01,27.72,28.66,27.52,28.61,45019900,27.79
2013-02-01,27.67,28.20,27.10,27.80,42969800,27.00
2013-01-02,27.25,28.23,26.28,27.45,56932500,26.45
2012-12-03,26.78,27.73,26.26,26.71,49503000,25.73
2012-11-01,28.84,30.20,26.34,26.62,66390700,25.65
2012-10-01,29.81,30.25,27.76,28.54,55946000,27.27
2012-09-04,30.45,31.61,29.74,29.76,49859800,28.44
2012-08-01,29.59,30.96,28.97,30.82,30797300,29.45
2012-07-02,30.62,31.05,28.54,29.47,42105900,27.97
2012-06-01,28.76,31.14,28.32,30.59,48969400,29.04
2012-05-01,32.05,32.34,28.64,29.19,47886600,27.71
2012-04-02,32.22,32.89,30.23,32.02,48821800,30.20
2012-03-01,31.93,32.95,31.49,32.26,44277900,30.42
2012-02-01,29.79,32.00,29.71,31.74,52182700,29.93
2012-01-03,26.55,29.95,26.39,29.53,70271500,27.67
2011-12-01,25.56,26.19,25.16,25.96,49264800,24.32
2011-11-01,26.19,27.20,24.30,25.58,53693200,23.97
2011-10-03,24.72,27.50,24.26,26.63,60235300,24.76
2011-09-01,26.46,27.50,24.60,24.89,63522800,23.15
2011-08-01,27.51,27.69,23.79,26.60,77332100,24.74
2011-07-01,25.93,28.15,25.84,27.40,68186700,25.32
2011-06-01,24.99,26.00,23.65,26.00,61377000,24.03
2011-05-02,25.94,26.25,24.03,25.01,67821800,23.11
2011-04-01,25.53,26.87,24.72,25.92,81660300,23.80
2011-03-01,26.60,26.78,24.68,25.39,59744300,23.31
2011-02-01,27.80,28.34,26.43,26.58,61355100,24.40
2011-01-03,28.05,29.46,27.42,27.73,71312700,25.31
2010-12-01,25.57,28.40,25.56,27.91,48111900,25.47
2010-11-01,26.88,28.87,24.93,25.26,68402700,23.05
2010-10-01,24.77,27.20,23.78,26.67,66458300,24.19
2010-09-01,23.67,25.53,23.54,24.49,63542900,22.21
2010-08-02,25.99,26.38,23.32,23.47,61156600,21.29
2010-07-01,23.09,26.41,22.73,25.81,71053500,23.29
2010-06-01,25.53,26.93,22.95,23.01,79675500,20.76
2010-05-03,30.67,31.06,24.56,25.80,89381300,23.28
2010-04-01,29.35,31.58,28.62,30.54,65821100,27.43
2010-03-01,28.77,30.57,28.24,29.29,51043300,26.31
2010-02-01,28.39,29.03,27.57,28.67,58684900,25.75
2010-01-04,30.62,31.24,27.66,28.18,81765200,25.19
2009-12-01,29.52,31.50,29.25,30.48,43297000,27.25
2009-11-02,27.70,30.14,27.41,29.41,53121400,26.29
2009-10-01,25.41,29.35,24.43,27.73,72581900,24.68
2009-09-01,24.35,26.25,23.76,25.72,52500600,22.89
2009-08-03,23.82,25.49,23.03,24.65,49659200,21.94
2009-07-01,24.05,25.72,22.00,23.52,71441700,20.82
2009-06-01,21.00,24.34,20.86,23.77,67163500,21.04
2009-05-01,20.19,20.94,19.01,20.89,57362800,18.49
2009-04-01,18.23,21.20,18.18,20.26,78563800,17.82
2009-03-02,15.96,18.88,14.87,18.37,78069100,16.16
2009-02-02,17.03,19.93,16.10,16.15,81560000,14.20
2009-01-02,19.53,21.00,16.75,17.10,81319400,14.94
2008-12-01,19.88,21.25,18.47,19.44,72425500,16.98
2008-11-03,22.48,23.66,17.50,20.22,95976900,17.66
2008-10-01,26.38,27.47,20.65,22.33,136418800,19.38
2008-09-02,27.67,27.76,23.50,26.69,96891900,23.16
2008-08-01,25.92,28.50,25.07,27.29,59889700,23.68
2008-07-01,27.27,27.91,24.87,25.72,77180100,22.23
2008-06-02,28.24,29.57,27.11,27.51,77058100,23.77
2008-05-01,28.50,30.53,27.95,28.32,69931800,24.47
2008-04-01,28.83,32.10,27.93,28.52,69066000,24.56
2008-03-03,27.24,29.59,26.87,28.38,74958500,24.44
2008-02-01,31.06,33.25,27.02,27.20,122053500,23.42
2008-01-02,35.79,35.96,31.04,32.60,97806800,27.96
2007-12-03,33.50,36.72,32.63,35.60,55002300,30.54
2007-11-01,36.53,37.50,32.68,33.60,90498800,28.82
2007-10-01,29.46,37.00,29.29,36.81,85080900,31.47
2007-09-04,28.50,29.85,28.27,29.46,61223000,25.19
2007-08-01,28.95,30.10,27.51,28.73,55264800,24.56
2007-07-02,29.67,31.84,28.95,28.99,64862000,24.70
2007-06-01,30.79,30.90,29.04,29.47,59647900,25.11
2007-05-01,29.94,31.16,29.90,30.69,64202000,26.15
2007-04-02,27.89,30.74,27.56,29.94,51337600,25.42
2007-03-01,27.82,28.55,26.60,27.87,59843900,23.67
2007-02-01,30.84,30.94,27.79,28.17,72483300,23.92
2007-01-03,29.91,31.48,29.40,30.86,69924300,26.11
2006-12-01,29.23,30.26,28.80,29.86,58945000,25.27
2006-11-01,28.78,30.00,28.58,29.36,61544700,24.85
2006-10-02,27.32,28.85,27.15,28.71,61492200,24.21
2006-09-01,25.89,27.52,25.39,27.35,56588300,23.07
2006-08-01,24.02,26.25,23.85,25.70,50459500,21.67
2006-07-03,23.53,24.60,22.23,24.06,68627600,20.22
2006-06-01,22.74,23.65,21.46,23.30,92940200,19.58
